Name ID;Game Object;Name;Delay (s);Screen as Source;File;Subtitle
T0.1;Iris;Iris;0;1;;Welcome to Iris, the most immersive all-in-one software for remote control of spirit bears. We offer the best online connection to the spirit world. 
;;;;;;
;;;;;;When you are ready to continue, press forward.
;;;;;;You can modify many settings, by pressing escape at any point.
;;;;;;*wait 10s*
;;;;;;When you are ready, press forward.
;;;;;;*wait 10s*
T1.1;Iris;Iris;0;1;;*tuuuut*tuuuut* You have 1 incoming call from *“Lucy”*. Connecting you through now.
;Lucy;Lucy*;0;1;;Hello? Human? I need your help!! Are you there? Please press up/down/left/right in that order to confirm you can hear me and that the connection is properly working.
T1.2;Lucy;Lucy*;0;1;;Human, please press up/down/left/right in that order. You can do it! If you are not sure about how your controls work, you can press escape to check the settings of Iris.
T1.3;Iris;Iris;0;1;;Checking response from spirit world... Connection in perfectly stable condition. You are now ready to connect to a spirit bear. Disconnecting because of reasons, in... 5... 4...
;Lucy;Lucy*;0;1;;What?! NO stop!
;Iris;Iris;0;1;;*monotone* Ha. ha. ha. just kidding.
;Lucy;Lucy*;0;1;;Ah phew! haha! Iris is a bit silly sometimes. Anyway, we will start the connection in a moment. But first, let me explain what is going on. I am Lucy, a fairy from the spirit world. We have a huge giant roaming the streets of my spirit village. We have no idea how he got there, and why, but all the spirits of the village are scared and have been hiding in their little houses. No one dares to talk to the giant because we are all so scared! We need an intelligent human who is a good listener. We will connect you with a fluffy spirit bear. You will be able to control his movements, and you will hear everything that he hears. It is quite the experience, really! So, will you help us, human?
;Iris;Iris;0;1;;Turn off your computer to confirm
;Lucy;Lucy*;0;1;;No, human, don’t! Iris is kidding... again. 
;Iris;Iris;0;1;;Ha.ha.ha.
;Lucy;Lucy*;0;1;;Don’t listen to iris! Just press forward to confirm. Will you help us, human?
T1.4;Lucy;Lucy*;0;1;;Oh... you don't.. want to help us? If you make up your mind, please press forward to confirm that you want to help us. We can really use the help of a talented human like you! Press forward to confirm!
